Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
Jon44E,FBgn0001285,NA,,,,FBgn0001285,Jon44E
Jon65Aii,FBgn0035666,NA,,,,FBgn0035666,Jon65Aii
Jon65Aiii,FBgn0035665,NA,,,,FBgn0035665,Jon65Aiii
Jon65Aiv,FBgn0250815,NA,,,,FBgn0250815,Jon65Aiv
Jon74E,FBgn0023197,NA,,,,FBgn0023197,Jon74E
Jon99Ci,FBgn0003358,NA,,,,FBgn0003358,Jon99Ci
Jon99Cii,FBgn0003356,NA,,,,FBgn0003356,Jon99Cii
Jon99Ciii,FBgn0003357,NA,,,,FBgn0003357,Jon99Ciii
Jon99Fi,FBgn0039778,NA,,,,FBgn0039778,Jon99Fi
Jon99Fii,FBgn0039777,NA,,,,FBgn0039777,Jon99Fii
lambdaTry,FBgn0043470,NA,,,,FBgn0043470,lambdaTry
Lon,FBgn0036892,NA,,,,FBgn0036892,Lon
modSP,FBgn0051217,NA,,,,FBgn0051217,modSP
MP1,FBgn0027930,NA,,,,FBgn0027930,MP1
ndl,FBgn0002926,NA,,,,FBgn0002926,ndl
psh,FBgn0030926,NA,,,,FBgn0030926,psh
rho,FBgn0004635,NA,,,,FBgn0004635,rho
Sb,FBgn0003319,NA,,,,FBgn0003319,Sb
Send1,FBgn0031406,NA,,,,FBgn0031406,Send1
Ser12,FBgn0011832,NA,,,,FBgn0011832,Ser12
Ser6,FBgn0011834,NA,,,,FBgn0011834,Ser6
Ser7,FBgn0019929,NA,,,,FBgn0019929,Ser7
Ser8,FBgn0019928,NA,,,,FBgn0019928,Ser8
snk,FBgn0003450,NA,,,,FBgn0003450,snk
Sp7,FBgn0037515,NA,,,,FBgn0037515,Sp7
SPE,FBgn0039102,NA,,,,FBgn0039102,SPE
spirit,FBgn0030051,NA,,,,FBgn0030051,spirit
stv,FBgn0086708,NA,,,,FBgn0086708,stv
Tequila,FBgn0023479,NA,,,,FBgn0023479,teq
thetaTry,FBgn0011555,NA,,,,FBgn0011555,thetaTry
TppII,FBgn0020370,NA,,,,FBgn0020370,TppII
Try29F,FBgn0015316,NA,,,,FBgn0015316,Try29F
yip7,FBgn0040060,NA,,,,FBgn0040060,yip7
zetaTry,FBgn0011556,NA,,,,FBgn0011556,zetaTry
