Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
Rab3-GAP,FBgn0027505,HuDis670,,,,FBgn0027505,Rab3-GAP
Rab7,FBgn0015795,HuDis670,,,,FBgn0015795,Rab7
ras,FBgn0003204,HuDis670,,,,FBgn0003204,ras
Ras85D,FBgn0003205,HuDis670,,,,FBgn0003205,Ras85D
Rep,FBgn0026378,HuDis670,,,,FBgn0026378,Rep
RhoGAP5A,FBgn0029778,HuDis670,,,,FBgn0029778,RhoGAP5A
Rop,FBgn0004574,HuDis670,,,,FBgn0004574,Rop
RpIII128,FBgn0004463,HuDis670,,,,FBgn0004463,RpIII128
RpL11,FBgn0013325,HuDis670,,,,FBgn0013325,RpL11
RpL35A,FBgn0037328,HuDis670,,,,FBgn0037328,RpL35A
RpS10b,FBgn0261593,HuDis670,,,,FBgn0285947,RpS10b
RpS17,FBgn0005533,HuDis670,,,,FBgn0005533,RpS17
RpS19b,FBgn0039129,HuDis670,,,,FBgn0039129,RpS19b
RpS26,FBgn0261597,HuDis670,,,,FBgn0261597,RpS26
RpS7,FBgn0039757,HuDis670,,,,FBgn0039757,RpS7
rt,FBgn0003292,HuDis670,,,,FBgn0003292,rt
ry,FBgn0003308,HuDis670,,,,FBgn0003308,ry
RyR,FBgn0011286,HuDis670,,,,FBgn0011286,RyR
S2P,FBgn0033656,HuDis670,,,,FBgn0033656,S2P
S6kII,FBgn0262866,HuDis670,,,,FBgn0262866,S6kII
Sans,FBgn0033785,HuDis670,,,,FBgn0033785,Sans
Sar1,FBgn0038947,HuDis670,,,,FBgn0038947,Sar1
Sardh,FBgn0034276,HuDis670,,,,FBgn0034276,Sardh
sax,FBgn0003317,HuDis670,,,,FBgn0003317,sax
Sbf,FBgn0025802,HuDis670,,,,FBgn0025802,Sbf
Sc2,FBgn0035471,HuDis670,,,,FBgn0035471,Sc2
Scgalpha,FBgn0032013,HuDis670,,,,FBgn0032013,Scgalpha
Scgdelta,FBgn0025391,HuDis670,,,,FBgn0025391,Scgdelta
SCOT,FBgn0035298,HuDis670,,,,FBgn0035298,SCOT
Scox,FBgn0262467,HuDis670,,,,FBgn0262467,Scox
ScpX,FBgn0015808,HuDis670,,,,FBgn0015808,ScpX
Scsalpha,FBgn0004888,HuDis670,,,,FBgn0004888,Scsalpha1
scu,FBgn0021765,HuDis670,,,,FBgn0021765,scu
sd,FBgn0003345,HuDis670,,,,FBgn0003345,sd
SdhA,FBgn0261439,HuDis670,,,,FBgn0261439,SdhA
SdhB,FBgn0014028,HuDis670,,,,FBgn0014028,SdhB
SdhC,FBgn0037873,HuDis670,,,,FBgn0037873,SdhC
Sec23,FBgn0262125,HuDis670,,,,FBgn0262125,Sec23
Sec63,FBgn0035771,HuDis670,,,,FBgn0035771,Sec63
SelR,FBgn0267376,HuDis670,,,,FBgn0267376,SelR
Ser,FBgn0004197,HuDis670,,,,FBgn0004197,Ser
sesB,FBgn0003360,HuDis670,,,,FBgn0003360,sesB
sgll,FBgn0051472,HuDis670,,,,FBgn0051472,sgll
Sh,FBgn0003380,HuDis670,,,,FBgn0003380,Sh
shrb,FBgn0086656,HuDis670,,,,FBgn0086656,shrb
sicily,FBgn0030352,HuDis670,,,,FBgn0030352,sicily
skap,FBgn0037643,HuDis670,,,,FBgn0037643,ScsbetaA
sky,FBgn0032901,HuDis670,,,,FBgn0032901,sky
slgA,FBgn0003423,HuDis670,,,,FBgn0003423,slgA
slo,FBgn0003429,HuDis670,,,,FBgn0003429,slo
SMC1,FBgn0040283,HuDis670,,,,FBgn0040283,SMC1
SMC3,FBgn0015615,HuDis670,,,,FBgn0015615,SMC3
smo,FBgn0003444,HuDis670,,,,FBgn0003444,smo
Snap29,FBgn0034913,HuDis670,,,,FBgn0034913,Snap29
Snr1,FBgn0011715,HuDis670,,,,FBgn0011715,Snr1
Sod,FBgn0003462,HuDis670,,,,FBgn0003462,Sod1
Sod2,FBgn0010213,HuDis670,,,,FBgn0010213,Sod2
Sodh-1,FBgn0024289,HuDis670,,,,FBgn0024289,Sodh-1
Sodh-2,FBgn0022359,HuDis670,,,,FBgn0022359,Sodh-2
Sos,FBgn0001965,HuDis670,,,,FBgn0001965,Sos
spas,FBgn0039141,HuDis670,,,,FBgn0039141,spas
Spat,FBgn0014031,HuDis670,,,,FBgn0014031,Spat
spel1,FBgn0015546,HuDis670,,,,FBgn0015546,spel1
spn-A,FBgn0003479,HuDis670,,,,FBgn0003479,spn-A
spn-B,FBgn0003480,HuDis670,,,,FBgn0003480,spn-B
SPoCk,FBgn0052451,HuDis670,,,,FBgn0052451,SPoCk
Spt-I,FBgn0086532,HuDis670,,,,FBgn0086532,Spt-I
Sptr,FBgn0014032,HuDis670,,,,FBgn0014032,Sptr
Ssadh,FBgn0039349,HuDis670,,,,FBgn0039349,Ssadh
sta,FBgn0003517,HuDis670,,,,FBgn0003517,sta
ste24a,FBgn0034176,HuDis670,,,,FBgn0034176,ste24a
Stim,FBgn0045073,HuDis670,,,,FBgn0045073,Stim
Stlk,FBgn0046692,HuDis670,,,,FBgn0046692,Stlk
Su(fu),FBgn0005355,HuDis670,,,,FBgn0005355,Su(fu)
su(r),FBgn0086450,HuDis670,,,,FBgn0086450,su(r)
Su(z)12,FBgn0020887,HuDis670,,,,FBgn0020887,Su(z)12
Sur-8,FBgn0038504,HuDis670,,,,FBgn0038504,Sur-8
Surf1,FBgn0029117,HuDis670,,,,FBgn0029117,Surf1
sws,FBgn0003656,HuDis670,,,,FBgn0003656,sws
Syx16,FBgn0031106,HuDis670,,,,FBgn0031106,Syx16
Tace,FBgn0039734,HuDis670,,,,FBgn0039734,Tace
Taf1,FBgn0010355,HuDis670,,,,FBgn0010355,Taf1
Taldo,FBgn0023477,HuDis670,,,,FBgn0023477,Taldo
tam,FBgn0004406,HuDis670,,,,FBgn0004406,PolG1
Tap42,FBgn0051852,HuDis670,,,,FBgn0051852,Tap42
Task7,FBgn0037690,HuDis670,,,,FBgn0037690,Task7
Taz,FBgn0026619,HuDis670,,,,FBgn0026619,Taz
Tbh,FBgn0010329,HuDis670,,,,FBgn0010329,Tbh
Tbp,FBgn0003687,HuDis670,,,,FBgn0003687,Tbp
TER94,FBgn0261014,HuDis670,,,,FBgn0286784,TER94
Tg,FBgn0031975,HuDis670,,,,FBgn0031975,Tg
tgo,FBgn0264075,HuDis670,,,,FBgn0264075,tgo
Thiolase,FBgn0025352,HuDis670,,,,FBgn0025352,Mtpbeta
TkR99D,FBgn0004622,HuDis670,,,,FBgn0004622,TkR99D
Top1,FBgn0004924,HuDis670,,,,FBgn0004924,Top1
Topors,FBgn0267351,HuDis670,,,,FBgn0267351,Topors
Torsin,FBgn0025615,HuDis670,,,,FBgn0025615,Torsin
toy,FBgn0019650,HuDis670,,,,FBgn0019650,toy
Tpc1,FBgn0037852,HuDis670,,,,FBgn0037852,Tpc1
Tpi,FBgn0086355,HuDis670,,,,FBgn0086355,Tpi
Trc8,FBgn0039668,HuDis670,,,,FBgn0039668,Trc8
Treh,FBgn0003748,HuDis670,,,,FBgn0003748,Treh
Trs20,FBgn0266724,HuDis670,,,,FBgn0266724,Trs20
Tsc1,FBgn0026317,HuDis670,,,,FBgn0026317,Tsc1
TSG101,FBgn0036666,HuDis670,,,,FBgn0036666,TSG101
Tsp,FBgn0031850,HuDis670,,,,FBgn0031850,Tsp
ttv,FBgn0265974,HuDis670,,,,FBgn0265974,ttv
tw,FBgn0086368,HuDis670,,,,FBgn0086368,tw
Uba1,FBgn0023143,HuDis670,,,,FBgn0023143,Uba1
Ubc6,FBgn0004436,HuDis670,,,,FBgn0004436,Ubc6
Ube3a,FBgn0061469,HuDis670,,,,FBgn0061469,Ube3a
unc-104,FBgn0267002,HuDis670,,,,FBgn0267002,unc-104
unc-119,FBgn0025549,HuDis670,,,,FBgn0025549,unc-119
Updo,FBgn0033428,HuDis670,,,,FBgn0033428,Urod
Upf3,FBgn0034923,HuDis670,,,,FBgn0034923,Upf3
UQCR-14,FBgn0030733,HuDis670,,,,FBgn0030733,UQCR-14
UQCR-14L,FBgn0039576,HuDis670,,,,FBgn0039576,UQCR-14L
