Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
tipE,FBgn0003710,,Y,,,FBgn0003710,tipE
trp,FBgn0003861,,Y,,,FBgn0003861,trp
Trp1,FBgn0011584,,Y,,,FBgn0011584,Trp1
TrpA1,FBgn0035934,,Y,,,FBgn0035934,TrpA1
Trpgamma,FBgn0032593,,Y,,,FBgn0032593,Trpgamma
trpl,FBgn0005614,,Y,,,FBgn0005614,trpl
Trpm,FBgn0265194,,Y,,,FBgn0265194,Trpm
Trpml,FBgn0262516,,Y,,,FBgn0262516,Trpml
tty,FBgn0015558,,Y,,,FBgn0015558,tty
unc80,FBgn0039536,,Y,,,FBgn0039536,unc80
wtrw,FBgn0260005,,Y,,,FBgn0260005,wtrw
zpg,FBgn0024177,,Y,,,FBgn0024177,zpg
zyd,FBgn0265767,,Y,,,FBgn0265767,zyd
